,category,datetime,headline,id,image,related,source,summary,url
0,company,2023-05-23,Apple Does What Burned Bud Light and Disney,120515623,https://s.yimg.com/ny/api/res/1.2/mGgDUp8Tk70ql5E9PuxU3g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/thestreet.com/8b28eb5858a455fcef8c989a32d3a96f,AAPL,Yahoo,"The iPhone manufacturer is launching a special watch band to reinforce its support for the LGBTQ+ community, at a time when brands are being attacked for their support for gender identity and equality.",https://finnhub.io/api/news?id=38e75de411fe944ae3cda8b303be37e0bd6168325dad3bd39d38a0bd117abf2b
1,company,2023-05-23,"Apple And Microsoft Add $1 Trillion In Value In 2023, Raising Concerns Over S&P 500 Dominance",120514958,https://media.zenfs.com/en/Benzinga/fd04b64e2fadcc6b3daa5e57e238fe9c,AAPL,Yahoo,"Apple Inc. and Microsoft Corp., the unrivaled powerhouses of the corporate world, are now exerting an unprecedented level of influence over the prestigious S&P 500 Index, triggering concerns among investors regarding the index’s increasingly top-heavy composition. Don't Miss: Why Jason Calacanis and Other Silicon Valley Elites Are Betting On This Startups Vision For Re-Uniting American Families So far this year, Apple and Microsoft have collectively added over $1 trillion in market value, accoun",https://finnhub.io/api/news?id=98a317bf268532df6ca95bb9dde1331ece1e8eb9876a6fdf16846245bef5802f
2,company,2023-05-23,FirstFT: Multibillion-dollar chip deal,120515625,,AAPL,Yahoo,"Apple and Broadcom have struck a “multibillion-dollar” agreement for the chip company to provide US-made 5G components to the iPhone maker, as part of Apple’s push to source more parts from American facilities.  Apple said the partnership, which centres on 5G radio frequency components and builds on its existing relationship with Broadcom, was part of its 2021 commitment to spend $430bn with US suppliers and manufacturers over five years.  Broadcom confirmed in a regulatory filing that it had entered into two “multiyear statements of work” for the supply of high-performance radio frequency and wireless components to Apple.",https://finnhub.io/api/news?id=e3a2b530cd4d942503cc3fc895b4a7a934c0214ecee3395f44922019fb37ee85
3,company,2023-05-23,Dow Jones Today: Tech Sends Index Lower,120508910,https://s.yimg.com/ny/api/res/1.2/DXiCm86q3zIwLALSlk068A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/investopedia.com/f66c1ef4c11506d37727a273a13f756f,AAPL,Yahoo,"Apple, Microsoft, Intel move lower as tech stocks fall, while Chevron moved higher on a ratings upgrade",https://finnhub.io/api/news?id=f5f844146e45ddd0be6c84c23bd0cac5d61ffe111bca2baac99faf9e3dd643c4
4,company,2023-05-23,"Apple takes something you didn't know you needed and makes it indispensable, says Jim Cramer",120516617,https://image.cnbcfm.com/api/v1/image/107245712-MM-Block-A-short-052323_mezz.jpg?v=1684889016&w=1920&h=1080,AAPL,CNBC,'Mad Money' host Jim Cramer discusses Apple's recent performance and its ability to weather difficult market conditions.,https://finnhub.io/api/news?id=937440d3fb50bc1f3aacf8bd50f3765df256246f4a9db1d3d8fe92806b7cd6aa
5,company,2023-05-23,"Microsoft integrates ChatGPT into Bing, unveils AI assistance",120508912,https://s.yimg.com/os/creatr-uploaded-images/2023-05/45b1be70-f9a5-11ed-af2d-8041ba54702d,AAPL,Yahoo,"Yahoo Finance tech editor Dan Howley highlights Microsoft's move to integrate ChatGPT into its search engine Bing, a new AI assistant feature for Windows 11, and also comments on Apple's plans to unveil its AR headset at its 2023 World Wide Developers Conference.",https://finnhub.io/api/news?id=f27ef863890780ebbe6fe0e02819495b745498f41e3b1b7e7958ac72366c1938
6,company,2023-05-23,"Apple, Broadcom, Zoom, Yelp: Stocks to watch",120508914,https://s.yimg.com/ny/api/res/1.2/KwPawM7jl8TFQpGCQ82ppQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2023-05/f85f0ea0-f9a6-11ed-b3ef-44fdf29f0b2f,AAPL,Yahoo,"The Yahoo Finance Live show discusses the announcement of Apple's multibillion-dollar deal with Broadcom, as a commitment to reduce its alliance with China and invest in American manufacturing, the decline of Zoom stock despite topping Q1 estimates, and Yelp shares closing higher as activist investor calls for the company's sale.",https://finnhub.io/api/news?id=9cd243a26ddb555fffdd654717c67a423494aa8cbfdf5dd13f7826b0c0a3044a
7,company,2023-05-23,Apple Just Announced a Multibillion-Dollar Deal With Broadcom -- Here's What Investors Should Know,120508915,https://s.yimg.com/ny/api/res/1.2/LQB4oxqNvuWebw6NB0dLxg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/motleyfool.com/273585279171293bb55b992313fd4dbc,AAPL,Yahoo,"In early 2018, Apple (NASDAQ: AAPL) announced plans to invest $350 billion in the U.S. economy.  At the time, the company said this set of investments would be concentrated on those areas where Apple could have the ""greatest impact on job creation.""  Apple just took another big step in fulfilling its pledge, striking a multiyear, multibillion-dollar deal with chipmaker Broadcom (NASDAQ: AVGO) to create components for its devices that will be made in the U.S.",https://finnhub.io/api/news?id=d6e0942c0ef77fcfc3cfb5c872e483136f58964cb5e11be06098b893a45a2114
8,company,2023-05-23,Buffett's Stock Buys: Morningstar's Assessment,120508919,https://s.yimg.com/ny/api/res/1.2/2fGTf9kdbHnrrZhnY9FwQQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/thestreet.com/02c1e2aa46cf4018b20c7ec99ad43d6e,AAPL,Yahoo,"Buffett's Berkshire Hathaway purchased shares of Apple, Bank of America, Capital One, and Occidental in the first quarter.",https://finnhub.io/api/news?id=71b6ffff500b18f0cb412b4eee54ae043dd2e49f4ae2dfb31701752551830130
9,company,2023-05-23,Why a Meta-Magic Leap partnership makes sense – and may or (may not) be all about Apple,120508921,https://s.yimg.com/ny/api/res/1.2/hVbDtoxpkq9Mt.jpdNIORg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTg-/https://s.yimg.com/os/creatr-uploaded-images/2023-05/aa81f2c0-f9a0-11ed-9fdb-aa42dd4314c2,AAPL,Yahoo,"Meta (META) is reportedly in talks with augmented reality (AR) headset maker Magic Leap to license its tech. It's a deal that would make a lot of sense, as the possible drop of Apple's (AAPL) mixed reality headset draws nearer.",https://finnhub.io/api/news?id=0ee25372ea27b7ac048c0af6ce3112d9d50e52ab7fc95de1b9709416eca630dc
